CNA_index	seg_index	subclone_ID	phase	change
0	4	1	A	-1
1	7	1	B	-1
2	0	2	A	-1
3	8	2	A	2
4	0	2	B	-1
5	8	2	B	1
6	8	3	A	1
7	9	3	B	-1
8	7	4	A	-1
9	2	4	B	1
10	8	5	A	1
11	0	6	A	-1
12	4	6	A	-1
13	8	6	A	2
14	9	6	A	1
15	2	8	B	1
16	8	9	A	1
17	7	9	B	-1
18	8	10	A	1
19	9	10	A	1
20	6	10	B	-1
21	7	11	B	-1
22	3	12	A	-1
23	7	12	A	-1
24	2	12	B	1
25	5	13	A	1
26	8	13	A	2
27	0	13	B	-1
28	9	15	B	-1
29	5	16	A	1
30	1	17	A	-1
31	2	17	A	1
32	5	17	A	4
33	2	17	B	2
34	8	18	A	1
35	1	19	A	-1
36	2	19	A	1
37	8	19	A	2
38	9	19	A	1
39	5	19	B	1
