SSM_index	CNA_index
3	19
5	6
6	6
7	6
8	3
9	12
9	14
10	12
10	14
11	12
11	14
12	9
16	13
17	8
17	11
17	18
18	8
18	11
18	18
19	15
20	7
20	17
32	13
33	13
34	13
35	13
36	13
37	13
38	19
40	6
41	6
42	8
42	11
42	18
43	8
43	11
43	18
44	12
44	14
45	15
46	15
47	16
48	9
49	7
49	17
50	7
50	17
51	10
54	10
57	13
59	16
69	13
70	13
71	13
72	13
73	13
74	13
75	19
77	8
77	11
77	18
78	12
78	14
79	12
79	14
80	12
80	14
81	16
82	16
83	7
83	17
88	13
89	12
89	14
90	17
95	10
96	10
102	13
103	19
105	12
105	14
106	16
112	16
123	13
127	10
128	10
129	10
132	13
134	12
150	15
151	15
152	17
162	17
