SSM_index	CNA_index
0	10
0	12
0	34
1	10
1	12
1	34
2	11
2	14
3	6
5	2
5	30
5	33
6	39
7	39
8	39
9	11
9	14
10	36
11	32
12	32
13	8
14	8
15	4
15	9
15	29
16	39
17	11
17	14
18	11
18	14
19	11
19	14
21	37
22	36
24	32
26	34
27	35
30	37
31	36
52	8
53	8
54	9
55	13
56	13
57	39
58	39
59	39
67	12
69	14
71	25
72	26
73	16
84	19
86	25
87	25
88	25
89	25
97	21
98	21
103	26
104	26
105	26
106	26
107	26
108	26
109	26
110	26
111	26
112	26
113	26
114	26
117	22
117	27
118	22
118	27
119	22
119	27
120	22
120	27
121	22
121	27
124	23
125	24
129	21
142	30
142	33
143	35
144	35
147	32
148	32
149	32
155	29
156	34
157	35
158	35
159	35
160	35
161	35
172	37
173	36
175	34
