CNA_index	seg_index	subclone_ID	phase	change
0	2	3	B	1
1	13	3	B	2
2	12	4	A	2
3	8	4	B	1
4	3	6	A	1
5	10	6	A	1
6	11	6	A	1
7	13	6	B	3
8	0	7	A	-1
9	2	7	A	-1
10	4	7	A	-1
11	16	7	A	1
12	1	7	B	1
13	3	7	B	1
14	9	7	B	1
15	6	8	A	-1
16	1	8	B	1
17	18	8	B	-1
18	2	10	A	-1
19	12	10	A	1
20	6	11	B	-1
21	11	11	B	-1
22	1	12	B	1
23	9	13	A	2
24	19	13	A	1
25	14	14	A	2
26	6	14	B	-1
27	11	15	A	1
28	1	16	A	1
29	6	16	A	-1
30	13	16	A	1
31	19	16	A	1
32	4	16	B	-1
33	11	18	B	-1
34	15	19	B	1
35	3	20	A	1
36	5	20	A	1
37	8	20	A	-1
38	4	20	B	-1
39	6	20	B	-1
