SSM_index	CNA_index
0	1
0	5
0	11
0	14
1	8
2	9
2	17
2	18
3	9
3	17
3	18
4	9
4	17
4	18
6	4
6	16
7	4
7	16
8	4
8	16
14	6
15	2
15	7
15	10
15	19
16	2
16	7
16	10
16	19
17	2
17	7
17	10
17	19
18	2
18	7
18	10
18	19
19	2
19	7
19	10
19	19
20	2
20	7
20	10
20	19
24	0
25	0
26	0
27	3
28	12
29	12
36	15
37	15
42	13
43	13
44	13
45	13
46	13
47	8
48	4
48	16
50	6
51	2
51	7
51	10
51	19
52	3
53	12
55	15
56	15
57	1
57	5
57	11
57	14
58	1
58	5
58	11
58	14
59	9
59	17
59	18
60	9
60	17
60	18
61	9
61	17
61	18
65	6
66	2
66	7
66	10
66	19
67	2
67	7
67	10
67	19
70	3
71	12
75	13
76	13
77	13
80	6
82	3
84	13
85	13
112	5
112	11
112	14
113	9
113	17
113	18
115	6
118	13
119	9
119	17
119	18
126	12
130	15
131	15
132	11
132	14
135	19
138	12
141	13
142	11
142	14
144	13
147	17
147	18
149	19
156	13
157	13
161	14
162	17
162	18
163	16
184	17
184	18
