SSM_index	seg_index	subclone_ID
0	0	1
1	1	1
2	4	1
3	5	1
4	11	1
5	16	1
6	3	1
7	7	1
8	8	1
9	10	1
10	12	1
11	14	1
12	16	1
13	6	2
14	6	2
15	16	2
16	1	3
17	4	3
18	6	3
19	6	3
20	11	3
21	13	3
22	15	3
23	16	3
24	18	3
25	0	3
26	2	3
27	2	3
28	2	3
29	6	3
30	7	3
31	11	3
32	11	3
33	12	3
34	13	3
35	13	3
36	15	3
37	16	3
38	17	3
39	18	3
40	18	3
41	0	4
42	1	4
43	12	4
44	3	5
45	6	5
46	9	5
47	19	5
48	0	6
49	3	6
50	8	6
51	16	6
52	0	7
53	1	7
54	1	7
55	1	7
56	2	7
57	5	7
58	7	7
59	7	7
60	8	7
61	9	7
62	10	7
63	12	7
64	13	7
65	14	7
66	15	7
67	16	7
68	0	7
69	2	7
70	2	7
71	2	7
72	4	7
73	4	7
74	6	7
75	9	7
76	10	7
77	10	7
78	16	7
79	16	7
80	19	7
81	14	8
82	8	8
83	13	8
84	3	9
85	9	9
86	12	9
87	13	9
88	16	9
89	17	9
90	5	9
91	6	9
92	6	9
93	15	9
94	19	9
95	6	10
96	7	10
97	15	10
98	16	10
99	17	10
100	1	10
101	2	10
102	3	10
103	12	10
104	16	10
105	10	11
106	16	11
107	1	11
108	1	12
109	3	12
110	3	12
111	4	12
112	4	12
113	4	12
114	6	12
115	8	12
116	10	12
117	13	12
118	13	12
119	13	12
120	15	12
121	16	12
122	17	12
123	17	12
124	18	12
125	18	12
126	19	12
127	0	12
128	1	12
129	2	12
130	2	12
131	4	12
132	4	12
133	5	12
134	6	12
135	7	12
136	9	12
137	11	12
138	11	12
139	12	12
140	13	12
141	18	12
142	18	12
143	2	13
144	2	13
145	6	13
146	7	13
147	14	13
148	17	13
149	0	13
150	16	13
151	18	13
152	10	14
153	18	14
154	17	14
155	4	15
156	7	15
157	0	16
158	4	16
159	6	16
160	9	16
161	13	16
162	13	16
163	13	16
164	15	16
165	17	16
166	6	16
167	8	16
168	12	16
169	14	16
170	15	16
171	15	16
172	15	16
173	15	16
174	19	16
175	1	17
176	4	17
177	4	17
178	8	17
179	8	17
180	13	17
181	15	17
182	17	17
183	0	17
184	6	17
185	6	17
186	7	17
187	11	17
188	4	18
189	10	18
190	7	18
191	16	18
192	18	19
193	4	20
194	7	20
195	17	20
196	0	20
197	4	20
198	9	20
199	17	20
