SSM_index	CNA_index
3	10
4	0
4	6
4	13
4	15
5	10
6	6
6	13
6	15
7	6
7	13
7	15
9	12
10	7
10	11
14	16
14	17
14	18
15	12
16	12
17	12
18	13
18	15
20	19
21	9
23	10
29	16
29	17
29	18
30	16
30	17
30	18
31	16
31	17
31	18
32	12
33	12
34	12
35	12
36	11
42	14
43	14
57	16
57	17
57	18
58	16
58	17
58	18
59	16
59	17
59	18
60	16
60	17
60	18
61	13
61	15
75	16
75	17
75	18
76	16
76	17
76	18
77	16
77	17
77	18
78	16
78	17
78	18
84	15
88	19
89	19
104	16
104	17
104	18
125	17
125	18
126	17
126	18
142	17
142	18
148	19
149	19
150	19
166	18
171	19
178	18
180	19
191	19
