CNA_index	seg_index	subclone_ID	phase	change
0	30	1	A	2
1	26	1	B	1
2	23	2	B	1
3	28	2	B	-1
4	36	2	B	1
5	9	4	B	1
6	16	5	B	-1
7	28	6	A	1
8	33	6	A	1
9	6	6	B	-1
10	30	6	B	1
11	21	7	A	1
12	20	7	B	1
13	12	8	B	2
14	11	10	A	-1
15	36	10	A	-1
16	36	11	B	1
17	4	12	A	-1
18	8	12	A	-1
19	13	13	A	1
20	15	13	A	-1
21	12	13	B	1
22	21	13	B	3
23	27	13	B	2
24	36	14	A	-1
25	5	14	B	1
26	29	15	B	-1
27	17	16	A	-1
28	27	16	A	2
29	34	17	A	-1
30	27	18	A	1
31	3	18	B	-1
32	38	18	B	1
33	0	19	B	-1
34	19	19	B	2
35	31	19	B	2
36	3	20	B	-1
37	4	20	B	-1
38	7	20	B	-1
39	16	20	B	-1
