CNA_index	seg_index	subclone_ID	phase	change
0	22	1	B	1
1	8	2	A	-1
2	5	2	B	-1
3	37	4	A	-1
4	5	4	B	-1
5	11	4	B	1
6	33	6	A	-1
7	39	6	A	-1
8	38	7	A	-1
9	25	8	A	-1
10	34	8	A	-1
11	10	8	B	-1
12	35	8	B	1
13	38	8	B	-1
14	16	9	A	1
15	7	10	B	-1
16	13	10	B	1
17	27	10	B	-1
18	0	11	A	1
19	13	11	A	2
20	3	12	A	-1
21	22	12	A	2
22	24	12	A	1
23	32	12	B	-1
24	34	12	B	1
25	0	13	B	-1
26	7	13	B	-1
27	15	14	A	-1
28	32	14	A	1
29	12	17	A	-1
30	33	17	A	-1
31	8	17	B	1
32	0	19	B	-1
33	1	19	B	1
34	16	19	B	1
35	25	19	B	-1
36	12	20	A	-1
37	22	20	B	3
38	29	20	B	1
39	35	20	B	1
