CNA_index	seg_index	subclone_ID	phase	change
0	9	1	A	-1
1	2	1	B	1
2	15	1	B	-1
3	0	2	A	-1
4	3	2	A	1
5	6	3	B	-1
6	9	3	B	-1
7	11	3	B	1
8	5	4	A	2
9	19	4	A	1
10	10	4	B	-1
11	14	4	B	2
12	3	5	A	1
13	19	5	B	-1
14	3	6	A	3
15	16	7	A	1
16	16	7	B	1
17	3	8	A	1
18	4	8	A	1
19	5	9	A	1
20	3	9	B	1
21	3	10	A	1
22	14	10	A	2
23	3	10	B	1
24	1	11	B	1
25	10	14	A	1
26	15	14	A	-1
27	16	15	A	2
28	1	15	B	3
29	5	15	B	1
30	10	16	B	-1
31	11	16	B	2
32	2	17	A	-1
33	7	17	A	1
34	8	17	A	-1
35	7	18	B	-1
36	5	19	A	1
37	17	19	A	-1
38	16	20	A	1
39	2	20	B	1
