CNA_index	seg_index	subclone_ID	phase	change
0	24	1	A	2
1	10	3	A	2
2	15	3	A	-1
3	25	5	B	2
4	23	7	A	3
5	25	7	A	-1
6	26	7	A	-1
7	12	7	B	-1
8	4	8	B	1
9	15	9	B	-1
10	18	9	B	-1
11	0	10	B	-1
12	3	13	A	1
13	23	14	A	1
14	26	14	A	-1
15	25	14	B	1
16	15	15	A	-1
17	23	15	A	1
18	39	15	A	-1
19	7	15	B	1
20	14	15	B	4
21	37	15	B	1
22	25	16	A	-1
23	7	16	B	1
24	7	17	B	1
25	36	17	B	1
26	15	18	A	-1
27	16	18	A	1
28	37	18	A	-1
29	1	18	B	-1
30	17	18	B	1
31	11	19	A	-1
32	11	19	B	-1
33	20	19	B	1
34	21	19	B	1
35	24	19	B	-1
36	19	20	A	1
37	22	20	A	3
38	8	20	B	1
39	13	20	B	-1
