SSM_index	CNA_index
0	10
5	9
5	17
7	5
8	5
9	10
10	11
11	11
12	3
13	3
14	9
14	17
15	16
15	19
16	2
17	10
18	1
18	8
19	4
21	18
22	9
22	17
23	14
24	2
25	5
26	18
28	10
29	10
30	11
31	11
32	11
33	12
34	6
35	6
36	7
39	9
39	17
40	9
40	17
41	9
41	17
42	14
43	12
46	11
47	11
48	11
52	8
53	8
54	7
59	9
59	17
60	9
60	17
61	13
61	15
63	16
65	10
73	10
74	10
75	10
76	11
77	11
78	11
85	8
86	8
87	8
88	7
94	9
94	17
95	9
95	17
96	9
96	17
97	9
97	17
98	13
98	15
99	14
100	14
103	16
107	11
108	11
109	11
111	12
112	12
113	7
114	7
122	9
122	17
123	9
123	17
124	9
124	17
125	9
125	17
126	9
126	17
127	14
128	14
131	11
133	8
137	11
138	11
139	11
140	11
143	9
143	17
144	9
144	17
145	9
145	17
146	14
147	14
153	17
154	17
175	17
176	17
