CNA_index	seg_index	subclone_ID	phase	change
0	22	1	A	1
1	24	1	B	-1
2	31	2	B	2
3	35	3	A	3
4	3	3	B	-1
5	5	3	B	1
6	22	3	B	-1
7	28	3	B	1
8	36	3	B	1
9	32	4	A	-1
10	28	4	B	2
11	26	5	A	-1
12	37	6	A	1
13	5	7	B	1
14	17	8	A	-1
15	9	8	B	3
16	36	10	A	-1
17	34	10	B	-1
18	30	11	B	-1
19	27	12	A	-1
20	39	12	A	-1
21	15	12	B	-1
22	29	12	B	1
23	37	13	A	1
24	35	13	B	2
25	15	15	A	1
26	2	15	B	1
27	28	15	B	1
28	31	15	B	1
29	4	16	A	2
30	25	16	A	1
31	14	16	B	2
32	17	17	A	-1
33	0	17	B	-1
34	23	17	B	-1
35	25	17	B	1
36	4	18	A	1
37	25	18	B	1
38	33	19	A	2
39	12	19	B	-1
