CNA_index	seg_index	subclone_ID	phase	change
0	6	1	B	1
1	1	2	A	1
2	7	2	B	3
3	1	3	B	-1
4	3	3	B	1
5	8	3	B	1
6	6	4	A	1
7	0	4	B	-1
8	2	4	B	2
9	3	4	B	1
10	5	4	B	1
11	1	6	A	1
12	2	6	B	1
13	6	6	B	2
14	4	7	B	1
15	3	8	B	1
16	8	9	A	2
17	1	10	A	2
18	5	10	A	1
19	8	10	A	1
20	2	11	B	1
21	3	11	B	2
22	2	12	A	1
23	2	14	B	2
24	9	14	B	-1
25	1	16	A	3
26	7	16	A	1
27	1	17	A	1
28	4	17	A	1
29	6	17	A	1
30	7	17	A	1
31	1	17	B	-1
32	2	17	B	1
33	4	17	B	1
34	3	18	A	1
35	0	18	B	-1
36	3	18	B	1
37	5	19	B	1
38	3	20	B	1
39	6	20	B	1
