CNA_index	seg_index	subclone_ID	phase	change
0	10	3	A	-1
1	19	4	A	1
2	17	4	B	1
3	3	5	B	1
4	15	6	B	2
5	4	7	B	-1
6	11	7	B	1
7	13	7	B	1
8	3	8	B	1
9	10	8	B	1
10	15	8	B	3
11	18	10	A	1
12	9	10	B	-1
13	1	12	A	2
14	3	12	A	1
15	4	12	A	2
16	5	12	A	1
17	10	12	A	-1
18	11	12	A	1
19	1	12	B	1
20	13	12	B	1
21	19	12	B	1
22	18	13	B	2
23	19	13	B	1
24	9	14	A	-1
25	14	15	B	1
26	15	15	B	1
27	12	16	A	1
28	0	16	B	1
29	17	16	B	1
30	4	17	A	1
31	10	17	B	1
32	15	17	B	1
33	1	18	A	1
34	3	18	A	1
35	14	18	A	-1
36	10	18	B	1
37	9	19	A	-1
38	16	19	A	1
39	5	19	B	3
