CNA_index	seg_index	subclone_ID	phase	change
0	10	1	A	1
1	11	1	A	1
2	14	1	A	1
3	16	1	A	1
4	17	2	A	1
5	7	2	B	1
6	7	3	B	1
7	14	4	A	1
8	18	4	A	1
9	16	4	B	-1
10	1	5	A	-1
11	12	5	A	-1
12	14	6	B	-1
13	8	7	A	1
14	12	7	B	-1
15	8	8	B	1
16	15	8	B	2
17	1	9	A	-1
18	13	9	A	1
19	17	9	A	1
20	1	9	B	2
21	3	9	B	1
22	5	10	A	-1
23	14	10	A	1
24	3	10	B	1
25	2	11	A	-1
26	11	11	B	-1
27	9	12	A	-1
28	11	13	A	2
29	13	13	A	1
30	15	13	A	-1
31	7	14	A	1
32	12	14	A	-1
33	7	15	A	1
34	19	15	A	1
35	11	16	A	1
36	10	16	B	-1
37	7	17	A	2
38	3	19	A	1
39	8	20	A	1
