SSM_index	CNA_index
0	16
1	13
2	13
3	1
3	21
4	3
5	8
5	18
5	25
5	28
5	29
5	36
6	4
6	7
6	14
6	19
6	23
6	27
6	33
6	37
7	20
7	30
8	20
8	30
9	35
9	39
11	10
13	3
14	3
15	3
16	3
17	3
18	3
20	8
21	4
21	7
22	4
22	7
23	4
23	7
24	5
25	9
25	11
31	4
31	7
77	31
78	31
79	21
81	15
82	18
82	25
82	28
82	29
82	36
83	18
83	25
83	28
83	29
83	36
87	14
87	19
87	23
87	27
87	33
87	37
88	14
88	19
88	23
88	27
88	33
88	37
89	19
89	23
89	27
89	33
89	37
93	21
97	19
97	23
97	27
98	19
98	23
98	27
104	16
105	16
109	21
114	17
114	22
114	24
137	24
138	24
142	25
143	25
144	27
145	27
146	27
162	24
163	25
166	27
170	28
170	29
170	36
171	30
173	35
173	39
174	33
174	37
176	35
176	39
177	30
179	31
188	36
