CNA_index	seg_index	subclone_ID	phase	change
0	11	1	A	1
1	26	2	A	1
2	10	3	A	1
3	2	4	A	1
4	34	4	A	1
5	0	5	A	1
6	27	5	B	1
7	0	6	A	1
8	30	6	A	1
9	4	6	B	-1
10	16	6	B	1
11	24	6	B	-1
12	10	7	A	4
13	2	8	A	1
14	17	8	A	1
15	30	8	A	1
16	0	8	B	1
17	25	8	B	1
18	12	9	A	-1
19	37	9	A	-1
20	5	9	B	-1
21	16	10	A	-1
22	32	10	B	-1
23	7	11	B	1
24	0	12	A	2
25	2	12	A	1
26	17	12	A	1
27	29	12	A	2
28	32	12	A	-1
29	16	12	B	1
30	1	13	A	-1
31	4	13	A	2
32	23	13	B	-1
33	5	14	A	-1
34	2	15	A	1
35	19	15	A	1
36	38	16	A	1
37	9	17	A	-1
38	31	17	A	1
39	31	20	A	1
