CNA_index	seg_index	subclone_ID	phase	change
0	8	1	A	1
1	19	1	A	1
2	7	1	B	2
3	19	2	A	1
4	1	3	B	1
5	13	3	B	-1
6	19	3	B	1
7	2	4	A	-1
8	19	4	A	1
9	12	6	A	-1
10	7	6	B	1
11	6	7	B	-1
12	8	8	B	1
13	11	8	B	-1
14	19	8	B	1
15	16	10	A	-1
16	5	10	B	1
17	16	10	B	-1
18	2	11	B	2
19	4	11	B	1
20	11	11	B	-1
21	14	11	B	-1
22	14	12	A	1
23	8	12	B	1
24	9	13	A	1
25	17	13	A	-1
26	15	14	A	2
27	8	14	B	2
28	9	14	B	2
29	14	17	A	1
30	0	17	B	1
31	7	17	B	1
32	11	17	B	-1
33	9	18	B	2
34	19	18	B	2
35	5	19	B	1
36	18	19	B	-1
37	19	19	B	1
38	11	20	A	1
39	9	20	B	2
