SSM_index	CNA_index
0	21
0	36
1	31
2	31
3	7
3	10
3	33
4	7
4	10
4	33
5	26
5	28
5	38
6	26
6	28
6	38
7	6
7	19
8	12
9	27
10	27
11	27
12	26
12	28
12	38
13	26
13	28
13	38
14	26
14	28
14	38
15	13
16	11
16	29
17	23
17	35
17	39
18	23
18	35
18	39
19	9
19	20
20	12
21	37
24	38
25	39
28	13
50	25
51	25
54	22
55	22
56	22
65	26
66	26
67	26
71	23
72	23
73	21
74	21
75	21
76	21
79	25
80	25
81	22
83	26
84	26
85	26
86	23
87	25
100	31
101	31
102	27
103	27
104	28
105	28
106	28
107	29
110	36
111	36
117	31
118	31
119	31
120	33
121	33
122	33
123	28
124	28
125	28
126	36
127	36
140	32
141	32
142	32
143	32
144	31
145	31
146	31
147	29
148	29
151	34
152	35
153	35
154	35
160	32
161	31
162	33
163	33
166	34
173	32
174	31
175	31
176	31
177	31
178	33
180	29
182	33
