SSM_index	CNA_index
0	0
0	17
0	20
0	22
0	28
0	34
0	36
1	17
1	20
1	22
1	28
1	34
1	36
4	11
4	18
5	9
5	31
5	35
6	9
6	31
6	35
7	6
7	37
8	19
8	32
9	19
9	32
10	17
10	20
10	28
10	34
12	24
12	33
13	9
13	31
13	35
14	25
15	16
15	29
16	28
16	34
18	24
18	33
19	30
20	30
21	30
22	31
22	35
23	25
24	7
24	26
25	29
26	29
27	31
27	35
30	32
31	32
32	32
33	32
34	32
35	32
36	32
37	29
38	29
39	28
39	34
40	28
40	34
41	28
41	34
42	28
42	34
43	28
43	34
55	24
55	33
56	24
56	33
57	24
57	33
58	30
59	30
60	30
61	30
62	31
62	35
63	31
63	35
64	31
64	35
65	31
65	35
66	31
66	35
67	31
67	35
68	25
69	25
74	27
75	19
76	19
77	16
78	16
79	17
79	20
80	17
80	20
81	17
81	20
83	12
83	21
84	12
84	21
86	9
88	13
90	10
91	17
91	20
92	17
92	20
96	21
97	12
97	21
102	19
103	19
110	21
111	21
112	21
122	21
128	37
129	32
130	28
130	34
131	24
131	33
132	31
132	35
134	32
136	30
137	31
137	35
138	32
139	29
142	33
143	32
144	32
145	32
148	34
150	35
151	35
152	31
152	35
153	35
154	31
154	35
155	35
160	34
171	35
172	35
187	35
188	35
192	36
195	38
