CNA_index	seg_index	subclone_ID	phase	change
0	6	2	A	-1
1	8	2	B	2
2	2	3	B	3
3	8	4	A	-1
4	1	4	B	1
5	3	8	A	-1
6	5	8	A	-1
7	9	8	A	-1
8	0	8	B	1
9	1	8	B	1
10	3	8	B	2
11	6	8	B	1
12	3	9	B	2
13	4	9	B	-1
14	6	9	B	1
15	3	10	B	3
16	5	10	B	1
17	6	10	B	1
18	6	11	B	1
19	1	12	A	1
20	8	12	A	-1
21	2	13	B	2
22	6	13	B	1
23	8	13	B	1
24	9	13	B	1
25	4	14	A	-1
26	4	14	B	-1
27	6	14	B	1
28	2	15	A	-1
29	1	16	B	2
30	2	16	B	1
31	1	17	A	1
32	4	17	A	-1
33	2	17	B	1
34	3	17	B	1
35	4	17	B	-1
36	9	17	B	1
37	8	18	B	1
38	8	20	A	-1
39	5	20	B	1
