SSM_index	CNA_index
0	38
1	11
4	23
5	23
6	31
7	31
8	25
11	32
12	17
12	28
13	29
13	34
14	5
15	5
18	22
19	22
20	10
21	10
24	23
25	24
25	37
26	38
27	38
32	25
36	11
37	11
38	11
39	18
40	18
44	13
44	26
45	6
45	33
46	7
46	14
46	20
46	21
46	39
47	29
47	34
48	5
50	22
52	17
52	28
54	23
55	24
55	37
56	38
57	38
62	18
66	17
66	28
67	29
67	34
68	29
68	34
69	5
70	15
70	30
72	22
73	10
75	24
75	37
76	31
77	31
78	38
79	38
85	15
85	30
86	22
87	22
88	22
90	23
91	23
92	24
92	37
93	24
93	37
94	38
98	32
99	32
103	20
103	21
103	39
104	17
104	28
105	17
105	28
117	22
118	22
119	22
121	23
122	23
123	24
123	37
124	24
124	37
125	24
125	37
126	38
127	38
134	18
135	18
136	18
137	26
138	27
140	17
140	28
141	15
141	30
144	24
149	22
150	24
152	18
160	22
162	22
166	27
169	35
172	37
178	39
179	39
184	36
187	36
191	37
192	38
193	38
196	39
