CNA_index	seg_index	subclone_ID	phase	change
0	13	1	A	-1
1	8	1	B	-1
2	16	1	B	-1
3	3	2	B	2
4	2	3	A	-1
5	9	3	A	1
6	14	3	A	1
7	0	4	A	-1
8	8	4	A	1
9	11	4	A	-1
10	5	4	B	1
11	3	5	A	-1
12	5	5	A	2
13	6	5	A	1
14	19	5	B	1
15	5	7	A	1
16	0	9	B	1
17	5	9	B	1
18	10	9	B	1
19	11	9	B	1
20	3	10	A	-1
21	8	10	A	1
22	9	10	A	1
23	4	10	B	3
24	5	10	B	1
25	6	10	B	1
26	12	10	B	1
27	13	10	B	1
28	3	11	B	3
29	9	14	B	-1
30	17	15	B	-1
31	2	17	B	-1
32	15	17	B	-1
33	19	18	A	-1
34	10	18	B	1
35	7	19	A	-1
36	5	19	B	1
37	8	20	A	1
38	0	20	B	1
39	11	20	B	1
