CNA_index	seg_index	subclone_ID	phase	change
0	4	3	A	1
1	5	3	A	1
2	6	3	A	-1
3	4	4	A	2
4	8	4	A	-1
5	5	4	B	1
6	2	5	A	1
7	4	5	B	-1
8	4	6	A	1
9	9	6	A	-1
10	2	6	B	-1
11	5	7	B	1
12	3	8	A	-1
13	0	9	B	-1
14	6	10	B	1
15	8	10	B	-1
16	8	11	B	-1
17	2	12	A	1
18	4	12	B	-1
19	0	13	B	-1
20	1	13	B	-1
21	6	15	A	-1
22	0	15	B	-1
23	5	15	B	1
24	2	16	A	2
25	7	16	A	1
26	8	16	A	-1
27	2	16	B	-1
28	8	16	B	-1
29	0	18	A	-1
30	8	18	A	-1
31	9	18	A	-1
32	1	18	B	-1
33	4	18	B	-1
34	8	18	B	-1
35	1	19	A	-1
36	3	19	A	-1
37	4	19	A	1
38	2	19	B	-1
39	3	20	A	-1
