SSM_index	CNA_index
0	14
0	23
1	36
2	36
4	10
4	35
5	14
5	23
6	11
6	24
6	31
7	5
7	17
7	20
7	30
8	34
8	39
9	34
9	39
12	10
12	35
13	8
13	15
14	16
15	16
16	11
16	31
17	11
17	31
18	36
19	36
20	4
20	12
21	12
24	17
25	17
26	13
26	18
26	32
27	6
27	19
27	33
27	37
28	6
28	19
28	33
28	37
29	38
32	10
32	35
33	11
33	31
34	11
34	31
35	11
35	31
36	12
37	12
38	12
44	13
44	32
45	13
45	32
46	33
46	37
47	33
47	37
48	38
49	38
50	38
51	38
53	12
55	33
55	37
56	33
56	37
57	33
57	37
58	38
63	11
63	31
64	11
64	31
68	13
68	32
69	13
69	32
70	33
70	37
71	38
81	13
85	13
97	17
100	15
101	16
102	16
109	17
110	17
111	18
112	18
113	19
123	17
125	17
126	19
134	28
135	28
144	34
145	32
146	38
148	36
150	38
159	38
160	38
161	38
162	38
