CNA_index	seg_index	subclone_ID	phase	change
0	3	1	A	-1
1	22	1	A	-1
2	4	1	B	1
3	10	1	B	1
4	8	2	B	-1
5	7	3	A	-1
6	11	3	B	1
7	12	3	B	1
8	14	3	B	3
9	2	4	B	1
10	4	4	B	1
11	11	5	A	1
12	30	5	A	-1
13	35	5	A	-1
14	38	5	A	-1
15	22	5	B	-1
16	26	5	B	1
17	38	7	A	-1
18	22	7	B	-1
19	13	8	A	1
20	2	9	A	-1
21	29	9	B	1
22	20	10	A	-1
23	0	11	A	-1
24	17	11	B	1
25	18	11	B	1
26	20	11	B	1
27	2	12	A	-1
28	11	12	B	3
29	28	14	A	1
30	15	15	B	2
31	39	16	B	1
32	25	17	A	1
33	12	18	A	-1
34	21	18	A	-1
35	21	18	B	-1
36	23	18	B	-1
37	28	19	A	2
38	14	20	A	1
39	20	20	A	-1
