CNA_index	seg_index	subclone_ID	phase	change
0	34	1	A	1
1	31	3	A	1
2	27	3	B	1
3	26	4	B	2
4	11	6	A	1
5	12	6	A	1
6	18	6	A	-1
7	15	7	A	-1
8	31	8	A	1
9	0	8	B	1
10	31	8	B	-1
11	8	9	A	-1
12	19	9	A	1
13	36	9	A	-1
14	7	9	B	1
15	29	10	A	2
16	7	10	B	1
17	21	10	B	-1
18	25	10	B	-1
19	1	11	B	1
20	16	12	A	1
21	22	12	A	-1
22	24	12	A	-1
23	22	12	B	-1
24	36	12	B	-1
25	21	13	A	1
26	3	13	B	-1
27	31	14	A	1
28	36	14	A	-1
29	7	15	A	-1
30	8	15	A	-1
31	14	15	A	1
32	18	15	B	1
33	18	17	A	-1
34	32	17	A	2
35	12	17	B	1
36	17	17	B	1
37	37	19	A	1
38	39	19	B	-1
39	8	20	A	-1
