CNA_index	seg_index	subclone_ID	phase	change
0	38	1	B	1
1	4	2	B	-1
2	7	2	B	1
3	18	2	B	-1
4	8	5	A	1
5	27	5	A	-1
6	35	5	A	1
7	10	5	B	2
8	20	5	B	1
9	3	6	B	2
10	16	6	B	1
11	23	6	B	-1
12	28	6	B	2
13	25	7	B	-1
14	15	9	A	2
15	18	9	A	1
16	15	9	B	1
17	29	9	B	-1
18	2	10	B	1
19	10	12	B	1
20	2	13	B	1
21	6	13	B	2
22	16	15	A	1
23	20	15	A	2
24	19	15	B	1
25	1	16	A	-1
26	22	16	A	-1
27	34	16	B	2
28	36	17	A	1
29	15	17	B	1
30	16	17	B	1
31	15	18	A	1
32	38	18	B	1
33	16	19	A	1
34	2	19	B	1
35	3	19	B	1
36	33	19	B	-1
37	35	19	B	-1
38	38	19	B	1
39	35	20	B	-1
