SSM_index	seg_index	subclone_ID
0	0	1
1	0	1
2	2	1
3	3	1
4	4	1
5	7	1
6	8	1
7	13	1
8	18	1
9	19	1
10	19	1
11	19	1
12	21	1
13	21	1
14	22	1
15	24	1
16	25	1
17	30	1
18	31	1
19	38	1
20	6	1
21	6	1
22	14	1
23	24	1
24	27	1
25	30	1
26	36	1
27	5	2
28	22	2
29	6	3
30	24	3
31	2	3
32	14	3
33	17	3
34	21	4
35	16	5
36	20	5
37	21	5
38	29	5
39	30	5
40	31	5
41	39	5
42	21	5
43	24	5
44	33	5
45	36	6
46	6	6
47	11	6
48	11	7
49	13	7
50	25	7
51	29	7
52	30	7
53	12	7
54	14	7
55	18	7
56	19	7
57	32	7
58	33	7
59	22	8
60	24	8
61	24	8
62	28	8
63	30	8
64	36	8
65	13	8
66	14	8
67	15	8
68	19	8
69	32	8
70	34	8
71	1	9
72	13	9
73	35	9
74	4	9
75	38	9
76	19	10
77	4	11
78	7	11
79	9	11
80	12	11
81	13	11
82	13	11
83	21	11
84	25	11
85	32	11
86	32	11
87	37	11
88	0	11
89	4	11
90	10	11
91	15	11
92	24	11
93	3	12
94	3	12
95	6	12
96	6	12
97	7	12
98	7	12
99	8	12
100	16	12
101	18	12
102	21	12
103	22	12
104	23	12
105	24	12
106	27	12
107	27	12
108	29	12
109	30	12
110	30	12
111	30	12
112	34	12
113	35	12
114	37	12
115	39	12
116	0	12
117	0	12
118	4	12
119	10	12
120	11	12
121	12	12
122	15	12
123	16	12
124	22	12
125	27	12
126	33	12
127	35	13
128	3	13
129	14	13
130	14	13
131	17	13
132	22	13
133	26	13
134	0	14
135	1	14
136	2	14
137	4	14
138	11	14
139	13	14
140	16	14
141	16	14
142	21	14
143	23	14
144	27	14
145	34	14
146	36	14
147	39	14
148	3	14
149	8	14
150	11	14
151	15	14
152	16	14
153	25	14
154	28	14
155	33	15
156	34	15
157	0	15
158	4	16
159	11	16
160	23	16
161	27	16
162	0	16
163	22	16
164	32	17
165	5	17
166	16	18
167	21	18
168	22	18
169	29	18
170	2	19
171	4	19
172	4	19
173	5	19
174	5	19
175	7	19
176	11	19
177	13	19
178	15	19
179	23	19
180	27	19
181	29	19
182	30	19
183	31	19
184	32	19
185	33	19
186	36	19
187	37	19
188	38	19
189	6	19
190	8	19
191	15	19
192	21	19
193	22	19
194	22	19
195	25	19
196	27	19
197	29	19
198	33	20
199	4	20
