SSM_index	CNA_index
2	10
3	17
4	19
7	9
8	15
8	20
9	7
10	12
11	12
12	21
13	39
14	39
16	13
34	3
81	19
84	12
85	12
86	22
87	13
88	16
89	16
93	10
94	10
95	10
101	38
102	15
102	20
104	39
105	39
106	39
107	13
108	13
109	16
110	16
111	16
112	23
113	23
114	14
115	14
117	17
118	17
120	37
121	38
123	39
129	39
130	16
132	38
133	38
134	23
143	38
144	38
145	20
146	20
147	20
148	22
149	39
150	39
154	23
155	23
156	23
164	38
165	20
166	21
167	39
168	39
170	32
171	29
172	30
173	30
174	35
175	36
180	29
182	33
183	34
184	34
