CNA_index	seg_index	subclone_ID	phase	change
0	2	1	A	-1
1	4	1	A	-1
2	9	1	A	-1
3	2	1	B	1
4	3	1	B	1
5	8	3	A	-1
6	3	3	B	1
7	4	4	B	-1
8	5	4	B	-1
9	9	4	B	2
10	3	5	A	-1
11	6	5	A	-1
12	9	5	B	2
13	3	6	B	1
14	9	6	B	1
15	1	7	A	-1
16	9	7	B	1
17	0	8	A	-1
18	6	8	A	-1
19	3	8	B	3
20	7	9	A	-1
21	3	9	B	2
22	1	10	B	-1
23	3	10	B	1
24	9	10	B	1
25	2	11	B	1
26	5	11	B	-1
27	8	12	B	-1
28	3	15	B	1
29	6	15	B	-1
30	9	15	B	1
31	5	16	A	-1
32	3	16	B	1
33	2	18	B	1
34	3	18	B	1
35	4	18	B	-1
36	7	18	B	-1
37	3	19	B	1
38	3	20	A	-1
39	0	20	B	-1
