SSM_index	seg_index	subclone_ID
0	3	1
1	3	1
2	6	1
3	5	2
4	7	2
5	2	2
6	5	2
7	5	2
8	5	2
9	6	2
10	9	2
11	4	3
12	4	3
13	0	3
14	0	3
15	1	3
16	5	3
17	6	3
18	6	3
19	6	3
20	7	3
21	8	3
22	9	3
23	0	4
24	4	4
25	0	4
26	3	4
27	4	4
28	5	4
29	7	4
30	8	4
31	9	4
32	4	5
33	4	5
34	0	6
35	2	6
36	3	6
37	4	6
38	7	6
39	7	6
40	0	7
41	4	7
42	0	7
43	4	7
44	4	7
45	4	7
46	4	7
47	5	7
48	6	7
49	6	7
50	8	7
51	4	8
52	0	8
53	0	8
54	1	8
55	4	8
56	4	8
57	5	8
58	5	8
59	5	8
60	8	8
61	9	8
62	4	9
63	4	9
64	8	9
65	0	9
66	0	9
67	3	9
68	5	9
69	6	9
70	8	9
71	4	10
72	4	10
73	5	10
74	3	11
75	5	11
76	6	11
77	7	11
78	3	11
79	3	11
80	5	11
81	7	11
82	0	12
83	0	12
84	1	12
85	2	12
86	4	12
87	4	12
88	4	12
89	4	12
90	5	12
91	9	12
92	9	12
93	0	12
94	0	12
95	1	12
96	1	12
97	2	12
98	2	12
99	3	12
100	3	12
101	3	12
102	3	12
103	4	12
104	4	12
105	4	12
106	4	12
107	4	12
108	4	12
109	4	12
110	4	12
111	4	12
112	4	12
113	4	12
114	4	12
115	5	12
116	5	12
117	6	12
118	6	12
119	6	12
120	6	12
121	6	12
122	7	12
123	7	12
124	8	12
125	9	12
126	9	13
127	1	13
128	1	13
129	2	13
130	5	13
131	0	14
132	0	14
133	6	14
134	6	14
135	7	14
136	0	14
137	2	14
138	5	14
139	8	14
140	0	15
141	0	15
142	2	15
143	4	15
144	4	15
145	5	15
146	3	16
147	4	16
148	4	16
149	4	16
150	5	16
151	5	16
152	9	16
153	0	16
154	0	16
155	1	16
156	3	16
157	4	16
158	4	16
159	4	16
160	4	16
161	4	16
162	5	16
163	5	16
164	5	16
165	5	16
166	6	16
167	6	16
168	7	16
169	7	16
170	7	16
171	7	16
172	8	16
173	9	16
174	1	17
175	3	17
176	5	17
177	2	18
178	0	19
179	4	19
180	4	19
181	4	19
182	7	19
183	7	19
184	0	19
185	2	19
186	4	19
187	4	19
188	4	19
189	6	19
190	6	19
191	7	19
192	8	19
193	9	19
194	2	20
195	4	20
196	4	20
197	5	20
198	6	20
199	6	20
