CNA_index	seg_index	subclone_ID	phase	change
0	19	1	B	1
1	4	2	A	-1
2	9	2	B	-1
3	3	3	A	-1
4	35	3	A	-1
5	0	3	B	2
6	5	4	A	-1
7	28	5	A	1
8	38	5	A	1
9	28	6	B	1
10	6	7	A	-1
11	16	7	A	-1
12	22	7	A	2
13	26	7	A	-1
14	29	9	A	-1
15	12	9	B	-1
16	20	11	B	1
17	27	13	B	1
18	9	14	A	-1
19	24	14	A	1
20	5	14	B	3
21	7	14	B	-1
22	26	15	A	-1
23	37	15	A	-1
24	15	15	B	-1
25	3	16	A	-1
26	0	17	A	1
27	15	17	A	1
28	33	17	A	1
29	2	17	B	-1
30	17	18	A	-1
31	30	18	A	1
32	0	19	A	2
33	10	19	A	1
34	11	19	A	-1
35	5	19	B	1
36	24	19	B	1
37	33	19	B	-1
38	17	20	B	-1
39	32	20	B	-1
