SSM_index	CNA_index
8	19
8	35
9	12
10	6
10	15
11	25
12	25
13	8
13	13
14	8
14	13
15	38
16	38
17	9
17	14
18	9
18	14
19	11
20	11
21	11
22	10
22	27
22	28
22	31
22	34
22	37
22	39
23	29
24	29
25	6
25	15
26	6
26	15
27	6
27	15
28	6
28	15
29	22
30	30
31	25
32	8
32	13
33	8
33	13
34	38
35	9
35	14
36	9
36	14
37	11
38	11
39	17
39	21
39	36
40	10
40	27
40	28
40	31
40	34
40	37
40	39
43	10
44	29
45	15
46	15
47	22
48	25
49	38
50	38
51	29
52	15
53	15
54	25
55	38
56	38
82	35
83	29
86	24
87	25
88	38
89	23
90	35
91	35
92	29
93	29
97	22
98	24
99	25
100	25
101	38
102	33
103	26
104	27
104	28
104	31
104	34
104	37
104	39
105	27
105	28
105	31
105	34
105	37
105	39
106	35
107	30
109	35
110	35
111	35
112	35
113	35
114	29
115	29
116	29
117	29
118	29
120	38
121	32
124	35
125	29
126	29
127	29
128	29
135	38
136	38
137	38
138	32
139	32
140	33
141	28
141	31
141	34
141	37
141	39
143	35
144	35
145	38
146	36
147	33
151	35
152	35
153	35
154	35
155	35
156	35
157	35
158	35
166	38
167	38
168	38
169	38
170	38
171	32
172	32
173	32
174	34
174	37
174	39
176	35
177	35
178	35
187	38
191	38
192	39
197	39
199	39
