SSM_index	seg_index	subclone_ID
0	0	1
1	1	1
2	3	1
3	4	1
4	5	1
5	5	1
6	7	1
7	7	1
8	8	1
9	9	1
10	0	1
11	3	1
12	8	1
13	8	2
14	6	3
15	8	3
16	8	3
17	3	3
18	4	3
19	8	3
20	0	4
21	1	4
22	2	4
23	2	4
24	3	4
25	3	4
26	3	4
27	3	4
28	3	4
29	3	4
30	6	4
31	6	4
32	6	4
33	6	4
34	7	4
35	7	4
36	7	4
37	7	4
38	7	4
39	9	4
40	9	4
41	0	4
42	3	4
43	6	4
44	7	4
45	0	5
46	0	5
47	1	5
48	1	5
49	2	5
50	2	5
51	2	5
52	6	5
53	6	5
54	6	5
55	0	6
56	0	6
57	0	6
58	1	6
59	1	6
60	1	6
61	2	6
62	2	6
63	2	6
64	3	6
65	3	6
66	3	6
67	3	6
68	3	6
69	6	6
70	6	6
71	6	6
72	6	6
73	7	6
74	7	6
75	7	6
76	7	6
77	7	6
78	9	6
79	0	6
80	0	6
81	1	6
82	1	6
83	1	6
84	1	6
85	1	6
86	4	6
87	5	6
88	7	6
89	9	6
90	0	7
91	0	7
92	0	7
93	0	7
94	3	7
95	3	7
96	6	7
97	6	7
98	6	7
99	8	7
100	8	7
101	9	7
102	0	7
103	4	7
104	6	7
105	1	8
106	1	8
107	5	8
108	9	8
109	9	8
110	6	8
111	2	9
112	9	9
113	5	9
114	0	10
115	3	10
116	3	10
117	6	10
118	6	10
119	0	11
120	0	11
121	0	11
122	0	11
123	2	11
124	3	11
125	7	11
126	7	11
127	9	11
128	0	11
129	0	11
130	6	11
131	1	12
132	6	12
133	6	12
134	7	12
135	7	12
136	9	12
137	6	12
138	1	13
139	7	13
140	0	13
141	5	13
142	5	13
143	5	13
144	6	13
145	8	13
146	1	14
147	6	14
148	6	14
149	8	14
150	0	14
151	6	14
152	7	14
153	0	15
154	0	15
155	0	15
156	0	15
157	0	15
158	0	15
159	1	15
160	3	15
161	3	15
162	3	15
163	6	15
164	6	15
165	6	15
166	6	15
167	7	15
168	7	15
169	7	15
170	7	15
171	7	15
172	7	15
173	7	15
174	8	15
175	8	15
176	8	15
177	8	15
178	0	15
179	1	15
180	1	15
181	1	15
182	4	15
183	5	15
184	5	15
185	6	15
186	7	15
187	9	15
188	9	15
189	9	16
190	7	17
191	0	18
192	3	18
193	6	18
194	6	18
195	7	18
196	9	19
197	4	20
198	7	20
199	7	20
