CNA_index	seg_index	subclone_ID	phase	change
0	24	1	A	1
1	33	1	A	2
2	28	2	A	-1
3	13	2	B	-1
4	26	3	A	1
5	6	3	B	1
6	26	4	A	1
7	12	5	A	-1
8	6	5	B	1
9	6	8	A	-1
10	19	8	A	1
11	30	8	A	-1
12	28	8	B	-1
13	3	9	A	-1
14	19	9	A	1
15	31	10	A	-1
16	25	10	B	3
17	34	11	A	1
18	36	11	B	-1
19	9	13	A	-1
20	24	13	A	1
21	29	14	A	-1
22	39	14	B	-1
23	0	15	A	-1
24	35	15	B	1
25	18	17	B	-1
26	25	18	B	1
27	1	19	A	-1
28	17	19	A	1
29	23	19	A	-1
30	27	19	A	-1
31	36	19	A	2
32	25	19	B	2
33	26	19	B	1
34	11	20	A	1
35	13	20	A	-1
36	33	20	A	3
37	39	20	A	-1
38	23	20	B	1
39	36	20	B	-1
