CNA_index	seg_index	subclone_ID	phase	change
0	8	2	A	1
1	15	2	A	2
2	16	2	A	1
3	9	3	B	1
4	9	4	A	1
5	3	4	B	1
6	7	4	B	-1
7	8	4	B	2
8	8	5	A	1
9	9	5	A	1
10	19	5	A	2
11	18	5	B	-1
12	8	6	A	1
13	4	7	A	1
14	8	7	B	1
15	6	8	A	1
16	5	9	A	-1
17	6	9	A	2
18	19	9	A	1
19	9	9	B	1
20	11	9	B	2
21	0	10	B	-1
22	9	11	A	1
23	7	13	A	2
24	16	13	A	1
25	15	13	B	1
26	18	13	B	-1
27	17	14	A	1
28	3	14	B	1
29	4	14	B	-1
30	3	15	B	2
31	17	15	B	-1
32	8	16	B	1
33	0	17	A	-1
34	18	17	A	1
35	8	17	B	1
36	12	17	B	-1
37	18	18	A	1
38	16	18	B	-1
39	13	19	A	-1
